	Unnamed: 0	Code	ROE	PM	ROE_Rank	PM_Rank	Total_Rank
2296	0	42940	43.07	0.3417887487876359	19.0	15.0	34.0
763	0	92790	35.49	0.38493799537213	31.0	13.0	44.0
2499	0	202960	34.84	0.3709273981089578	32.0	14.0	46.0
1332	0	19590	30.12	0.3185538332671599	50.0	19.0	69.0
1515	0	208140	30.34	0.232813668945726	48.0	36.0	84.0
2253	0	6920	28.25	0.2267250780421446	58.0	39.0	97.0
1791	0	38010	26.24	0.2619013167414267	75.0	28.0	103.0
1303	0	35610	26.51	0.2293217743620852	72.0	37.0	109.0
360	0	41190	26.51	0.2219946340478319	72.0	42.0	114.0
2133	0	46310	24.22	0.2369168554843204	94.0	34.0	128.0
580	0	18310	23.35	0.2635323097831857	105.0	27.0	132.0
1240	0	8260	23.77	0.2236011486836945	98.0	41.0	139.0
1630	0	90410	23.52	0.2167355350703893	100.0	46.0	146.0
1643	0	101000	27.62	0.1714656062017064	61.0	85.0	146.0
400	0	272450	112.52	0.1414624829383201	1.0	147.0	148.0
823	0	83310	22.87	0.2247444284618752	109.0	40.0	149.0
133	0	383220	27.42	0.1709004215657551	66.0	88.0	154.0
2515	0	114920	27.53	0.1707014121023284	65.0	89.0	154.0
554	0	306200	20.68	0.2707228475140428	144.0	25.0	169.0
2378	0	17250	23.43	0.1854259495890368	104.0	66.0	170.0
797	0	194370	26.09	0.1667898942051539	77.0	97.0	174.0
2485	0	244880	19.18	0.321285140562249	163.0	17.0	180.0
2139	0	78590	21.0	0.213197266100391	137.0	47.0	184.0
585	0	35150	25.09	0.1618017816124152	86.0	102.0	188.0
6	0	270	21.14	0.1792123837344954	130.0	72.0	202.0
1091	0	285490	21.01	0.1794124243103834	135.0	70.0	205.0
1327	0	89850	22.58	0.1680556171301256	114.0	93.0	207.0
2416	0	53060	29.75	0.1369394162198782	52.0	158.0	210.0
612	0	126700	22.06	0.1679860538451298	117.0	94.0	211.0
240	0	192080	18.9	0.2212401531826314	168.0	43.0	211.0
