	Code	ROE	PM
0	005930	10.85	0.08001237379524301
0	000660	27.58	0.13055664055094818
0	373220	2.5	0.012917435615998042
0	207940	10.15	0.018321434743495478
0	005380	14.0	0.0644524612754882
0	068270	3.33	0.013871011867648634
0	000270	21.14	0.17921238373449544
0	105560	8.7	0.01063885965859233
0	055550	8.82	0.009743919803941105
0	005490	3.67	0.04456757576726217
0	028260	6.74	0.057872358952306566
0	035420	6.62	0.048762352021765404
0	006400	6.32	0.027581706307493528
0	051910	2.84	0.032414859773581384
0	012330	8.78	0.06485141223282578
0	086790	9.25	0.008538857671269736
0	032830	5.46	0.009641123189537002
0	138040	24.07	0.027989320986592146
0	329180	8.53	0.021845300179333702
0	247540	-2.06	0.0018800364568753775
0	000810	13.16	0.033162585259132606
0	196170	4.75	-0.00039984292737539525
0	259960	16.81	0.0609346188340607
0	035720	3.79	0.01944044385072597
0	003670	3.45	0.005078896126240826
0	066570	9.22	0.08054607386002466
0	033780	11.47	0.07000542844476047
0	012450	15.63	0.03585087513370456
0	015760	7.98	0.03483043726806146
0	009540	9.99	0.039252170773451056
0	011200	12.47	0.21105054634434883
0	003550	4.75	0.10900135756295574
0	316140	9.16	0.008370764241507792
0	017670	10.38	0.06306746226420545
0	086520	3.43	0.01909839390064675
0	034020	6.39	0.057038054539591786
0	018260	8.83	0.061784344572688187
0	042700	40.46	0.021883321401286942
0	267260	40.71	0.053155886350630434
0	024110	8.52	0.00831149498511229
0	028300	-32.55	-0.011091409809580014
0	010130	6.88	0.06904583657179274
0	402340	13.73	0.17918559103270584
0	009150	8.5	0.06074626928778332
0	323410	7.24	0.007599086272526503
0	034730	5.98	0.03991167425949423
0	042660	4.31	0.011559509163283573
0	096770	-0.72	0.023129494390352286
0	030200	7.2	0.05342337199870623
0	047050	10.94	0.06316793283604064
0	010140	7.24	0.02208029982169405
0	086280	15.07	0.10665456438119661
0	000100	8.01	0.012010510246979628
0	326030	22.69	0.008973472356961061
0	005830	15.63	0.049686996122639764
0	003490	13.19	0.07421440444462854
0	352820	6.13	0.023322605900358544
0	090430	12.33	0.030791735635772054
0	010950	7.22	0.06322495870441669
0	267250	9.69	0.06270027401092614
